Lattice Direction Pseudo, Atom Type, Atom Number, KE, Final Energy, Delta Energy
54S, ga, 34, 43, -1823.366269, 0.001536
54S, ga, 34, 44, -1823.366289, 0.001516
54S, n, 35, 25, -1815.806445, 7.561360
54S, n, 35, 17, -1823.365565, 0.002240
54S, n, 35, 21, -1815.809370, 7.558435
54S, n, 35, 19, -1815.791265, 7.576540
54S, n, 35, 18, -1823.365533, 0.002272
55S, ga, 34, 25, -1823.366817, 0.000988
55S, ga, 34, 33, -1823.366488, 0.001317
55S, ga, 34, 41, -1816.284408, 7.083397
55S, ga, 34, 37, -1823.366259, 0.001546
55S, ga, 34, 39, -1823.366598, 0.001207
55S, ga, 34, 40, -1823.366193, 0.001612
55S, n, 35, 25, -1815.793758, 7.574047
55S, n, 35, 17, -1823.365623, 0.002182
55S, n, 35, 21, -1823.366196, 0.001609
55S, n, 35, 23, -1823.365928, 0.001877
55S, n, 35, 24, -1817.458364, 5.909441
56S, ga, 34, 25, -1823.365675, 0.002130
56S, ga, 34, 33, -1815.753995, 7.613810
56S, ga, 34, 29, -1809.310909, 14.056896
56S, ga, 34, 27, -1823.366185, 0.001620
56S, ga, 34, 28, -1809.575921, 13.791884
56S, n, 35, 25, -1823.367220, 0.000585
56S, n, 35, 33, -1823.366846, 0.000959
56S, n, 35, 41, -1815.781264, 7.586541
56S, n, 35, 37, -1815.865452, 7.502353
56S, n, 35, 35, -1823.366007, 0.001798
56S, n, 35, 36, -1823.366142, 0.001663
57S, ga, 34, 25, -1816.502834, 6.864971
57S, ga, 34, 17, -1823.366248, 0.001557
57S, ga, 34, 21, -1823.366542, 0.001263
57S, ga, 34, 23, -1823.366082, 0.001723
57S, ga, 34, 24, -1823.366029, 0.001776
57S, n, 35, 25, -1823.365483, 0.002322
57S, n, 35, 33, -1823.366848, 0.000957
57S, n, 35, 41, -1823.366538, 0.001267
57S, n, 35, 49, -1823.366817, 0.000988
58S, ga, 34, 25, -1823.366526, 0.001279
58S, ga, 34, 33, -1823.366785, 0.001020
58S, ga, 34, 41, -1823.366569, 0.001236
58S, ga, 34, 49, -1823.366115, 0.001690
58S, n, 35, 25, -1823.365886, 0.001919
58S, n, 35, 33, -1823.366191, 0.001614
58S, n, 35, 41, -1823.365813, 0.001992
58S, n, 35, 49, -1823.367045, 0.000760
59S, ga, 34, 25, -1823.366206, 0.001599
59S, ga, 34, 33, -1823.366209, 0.001596
59S, ga, 34, 41, -1823.366552, 0.001252
59S, ga, 34, 49, -1823.365903, 0.001902
59S, n, 35, 25, -1815.807213, 7.560592
59S, n, 35, 17, -1815.809401, 7.558404
59S, n, 35, 9, -1823.365299, 0.002506
59S, n, 35, 13, -1823.365747, 0.002058
59S, n, 35, 15, -1823.365432, 0.002373
59S, n, 35, 16, -1815.809089, 7.558716
5L, ga, 34, 25, -1823.366712, 0.001093
5L, ga, 34, 33, -1823.366274, 0.001531
5L, ga, 34, 41, -1823.366410, 0.001395
5L, ga, 34, 49, -1823.366029, 0.001776
60S, ga, 34, 25, -1823.365977, 0.001828
60S, ga, 34, 33, -1823.366649, 0.001156
60S, ga, 34, 41, -1823.366223, 0.001582
60S, ga, 34, 49, -1823.365830, 0.001975
60S, n, 35, 25, -1815.650234, 7.717571
60S, n, 35, 17, -1815.808512, 7.559293
60S, n, 35, 9, -1823.365613, 0.002192
60S, n, 35, 13, -1823.364076, 0.003729
60S, n, 35, 15, -1815.809345, 7.558460
60S, n, 35, 14, -1823.366031, 0.001774
61S, ga, 34, 25, -1823.366181, 0.001624
61S, ga, 34, 33, -1823.366200, 0.001605
61S, ga, 34, 41, -1823.365861, 0.001944
61S, ga, 34, 49, -1823.365964, 0.001841
61S, n, 35, 25, -1815.808754, 7.559051
61S, n, 35, 17, -1815.809218, 7.558587
61S, n, 35, 9, -1823.365342, 0.002463
61S, n, 35, 13, -1823.365780, 0.002025
61S, n, 35, 15, -1823.365426, 0.002379
61S, n, 35, 16, -1815.808933, 7.558872
62S, ga, 34, 25, -1823.366480, 0.001325
62S, ga, 34, 33, -1823.366747, 0.001058
62S, ga, 34, 41, -1823.366664, 0.001141
62S, ga, 34, 49, -1823.366096, 0.001709
62S, n, 35, 25, -1823.365862, 0.001943
62S, n, 35, 33, -1823.365922, 0.001883
62S, n, 35, 41, -1823.365677, 0.002128
62S, n, 35, 49, -1823.367001, 0.000804
63S, ga, 34, 25, -1816.502452, 6.865353
63S, ga, 34, 17, -1823.366224, 0.001581
63S, ga, 34, 21, -1823.366608, 0.001197
63S, ga, 34, 23, -1823.366036, 0.001769
63S, ga, 34, 24, -1823.365997, 0.001808
63S, n, 35, 25, -1823.365590, 0.002215
63S, n, 35, 33, -1823.366229, 0.001576
63S, n, 35, 41, -1823.366537, 0.001268
63S, n, 35, 49, -1823.366508, 0.001297
64S, ga, 34, 25, -1823.365540, 0.002265
64S, ga, 34, 33, -1823.365583, 0.002222
64S, ga, 34, 41, -1823.366290, 0.001515
64S, ga, 34, 49, -1812.377771, 10.990034
64S, ga, 34, 45, -1823.367072, 0.000733
64S, n, 35, 25, -1823.365074, 0.002731
64S, n, 35, 33, -1823.366826, 0.000979
64S, n, 35, 41, -1815.794891, 7.572914
64S, n, 35, 37, -1823.366364, 0.001441
64S, n, 35, 39, -1823.366587, 0.001218
64S, n, 35, 40, -1823.367020, 0.000785
65S, ga, 34, 25, -1823.366291, 0.001514
65S, ga, 34, 33, -1812.378212, 10.989593
65S, ga, 34, 29, -1823.365489, 0.002316
65S, ga, 34, 31, -1823.365274, 0.002531
65S, ga, 34, 32, -1823.365844, 0.001961
65S, n, 35, 25, -1815.793774, 7.574031
65S, n, 35, 17, -1823.365972, 0.001833
65S, n, 35, 21, -1815.786064, 7.581741
65S, n, 35, 19, -1823.365892, 0.001913
65S, n, 35, 20, -1823.365676, 0.002129
66S, ga, 34, 25, -1823.366361, 0.001444
66S, ga, 34, 33, -1812.373624, 10.994181
66S, ga, 34, 29, -1823.365887, 0.001918
66S, ga, 34, 31, -1812.376624, 10.991181
66S, ga, 34, 30, -1823.366070, 0.001735
